record_type,product_id,brand,name,code,product_quantity,street_price,suggested_price,price_novat,plain_description,weight,picture 1,picture 2,picture 3,madein,Firme,heel,lenght,mainmaterial,Categorie,Produzione,Sottocategorie,Promo,Discount Percentage,season,color,Warehouse2,bicolors,Genere,productname,model_id,barcode,model_size,model_quantity
MODEL,93697," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",277116,191931526254,EU 46,1
PRODUCT,93684,Laura Biagiotti,5129,5129_BLACK,20,165.00,76.86,54.90,,3.70,https://www.brandsdistribution.com/prod/stock_product_image_93684_206660613.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93684_391340085.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93684_490504394.jpg,China,Laura Biagiotti,11," "," ",shoes," ",Stivale,reductions,30,fw,black," ",black,women," "," "," "," "," "
MODEL,93684," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268456,8053340369735,EU 38,8
MODEL,93684," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268457,8053340369742,EU 39,7
MODEL,93684," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268458,8053340369759,EU 40,2
MODEL,93684," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268459,8053340369766,EU 41,3
PRODUCT,93683,Laura Biagiotti,5124L,5124L_BLACK,3,135.00,53.88,44.90,,2.00,https://www.brandsdistribution.com/prod/stock_product_image_93683_1573288706.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93683_2126087292.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93683_1073115136.jpg,China,Laura Biagiotti,11," "," ",shoes," ",Stivaletto,reductions,40,fw,black," ",black,women," "," "," "," "," "
MODEL,93683," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268453,8053340369827,EU 41,3
PRODUCT,93682,Laura Biagiotti,5097,5097_BLACK,43,165.00,76.86,54.90,,3.70,https://www.brandsdistribution.com/prod/stock_product_image_93682_1769409738.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93682_1442104656.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93682_350956775.jpg,China,Laura Biagiotti,11," "," ",shoes," ",Stivale,reductions,30,fw,black," ",black,women," "," "," "," "," "
MODEL,93682," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268442,8053340369650,EU 36,5
